"BehaviorSpace results (NetLogo 6.2.0)"
"lab2_5.nlogo"
"experiment"
"04/16/2021 13:50:39:315 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","%-similar-wanted","[step]","percent-similar"
"82","20","7","56.39402791301526"
"83","20","5","56.06974091575688"
"84","20","3","56.138065776619996"
"85","20","0","50.081089847551084"
"82","20","8","56.482232678890156"
"84","20","4","56.78228301579548"
"86","20","0","49.68400583373845"
"85","20","1","54.30936536276578"
"84","20","5","57.075394886826246"
"86","20","1","54.044415626519694"
"85","20","2","56.50340577359715"
"87","20","0","49.85441604658686"
"84","20","6","57.18704216181018"
"86","20","2","55.70827943078913"
"85","20","3","57.16367168528412"
"87","20","1","54.504212572909914"
"86","20","3","56.5808644973288"
"84","20","7","57.228817693933976"
"85","20","4","57.32793522267207"
"87","20","2","56.07900275214506"
"86","20","4","57.1890667960537"
"85","20","5","57.47814826804791"
"84","20","8","57.2938689217759"
"87","20","3","56.95096293898689"
"86","20","5","57.60219744708353"
"85","20","6","57.603238866396765"
"88","20","0","49.48638512962661"
"86","20","6","57.692307692307686"
"87","20","4","57.43199481865285"
"89","20","0","49.57502451781628"
"88","20","1","54.41056579161911"
"90","20","0","50.48084759576202"
"87","20","5","57.716599190283404"
"89","20","1","54.10264792415822"
"88","20","2","56.54365143879044"
"90","20","1","54.46283674131776"
"89","20","2","55.75639146718775"
"87","20","6","57.99611524765296"
"88","20","3","57.14285714285714"
"90","20","2","56.122117570639816"
"89","20","3","56.27649168568634"
"87","20","7","58.13915857605178"
"88","20","4","57.53691384066202"
"90","20","3","56.83920168748986"
"89","20","4","56.56285667699331"
"87","20","8","58.2200647249191"
"88","20","5","57.81275352912543"
"90","20","4","57.02465931213497"
"89","20","5","56.702544031311156"
"88","20","6","57.93058709049627"
"90","20","5","57.047850770478505"
"91","20","0","49.69125771855703"
"89","20","6","56.791129952714826"
"91","20","1","55.624187256176846"
"92","20","0","50.12932428063369"
"93","20","0","50.244937949052904"
"91","20","2","57.78788370959883"
"94","20","0","50.14615134784021"
"92","20","1","54.78190630048465"
"93","20","1","55.651606589463384"
"91","20","3","58.6240467304884"
"94","20","1","54.37256176853056"
"92","20","2","57.02492716089349"
"93","20","2","57.67790262172284"
"94","20","2","56.20343375445416"
"91","20","4","59.11449886474214"
"92","20","3","57.91686883389941"
"93","20","3","58.51912123677787"
"94","20","3","56.869734283862606"
"91","20","5","59.30251419302515"
"93","20","4","58.97269180754227"
"92","20","4","58.51648351648352"
"91","20","6","59.27667855984431"
"94","20","4","57.08967303334413"
"93","20","5","59.06727331816705"
"92","20","5","58.924244871587796"
"91","20","7","59.32533246837496"
"94","20","5","57.381029459371966"
"93","20","6","59.23276983094928"
"91","20","8","59.39983779399838"
"92","20","6","59.00871811430417"
"93","20","7","59.23276983094928"
"94","20","6","57.49676165803109"
"91","20","9","59.393251135626215"
"92","20","7","59.00871811430417"
"93","20","8","59.30440435559889"
"92","20","8","59.015334947538335"
"95","20","0","50.06514657980456"
"91","20","10","59.393251135626215"
"96","20","0","50.283584508183445"
"95","20","1","54.6002279758997"
"91","20","11","59.41252839987017"
"97","20","0","50.34976411257524"
"96","20","1","54.04352062357909"
"95","20","2","55.90435914118412"
"91","20","12","59.47436729396496"
"97","20","1","55.25285481239804"
"96","20","2","55.629569455727044"
"95","20","3","56.71907926730426"
"98","20","0","50.23573402698748"
"96","20","3","56.34352635003253"
"97","20","2","56.82926829268292"
"95","20","4","57.02479338842975"
"96","20","4","56.462363843277515"
"98","20","1","55.54647933344224"
"97","20","3","57.73848150551591"
"95","20","5","57.08272624251255"
"98","20","2","57.1102413568167"
"96","20","5","56.70404680643588"
"97","20","4","58.11688311688312"
"95","20","6","57.1474825967298"
"98","20","3","58.00456472122595"
"96","20","6","56.74358141046474"
"97","20","5","58.18329278183293"
"99","20","0","49.788342559426894"
"96","20","7","56.75060926076361"
"98","20","4","58.204334365325074"
"97","20","6","58.356297617117846"
"96","20","8","56.757634827810264"
"99","20","1","54.28617992177314"
"97","20","7","58.349546044098574"
"98","20","5","58.394398306464744"
"99","20","2","56.15723373022345"
"97","20","8","58.38871778246069"
"100","20","0","50.01624959376015"
"98","20","6","58.473058766075205"
"99","20","3","56.882228375957"
"100","20","1","53.957654723127035"
"101","25","0","51.26829268292683"
"100","20","2","55.49772283669486"
"99","20","4","57.62214983713355"
"102","25","0","49.38954908025395"
"100","20","3","56.58750813272609"
"99","20","5","57.6872964169381"
"101","25","1","57.25597931480284"
"102","25","1","55.379131561892414"
"100","20","4","56.98732531686708"
"99","20","6","57.76185046424499"
