"BehaviorSpace results (NetLogo 6.1.1)"
"lab2_5_ex_a.nlogo"
"experiment"
"04/23/2020 12:46:07:450 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","%-similar-wanted","[step]","percent-similar"
"31","30","11","74.60002831657935"
"32","30","12","74.26760563380282"
"33","30","12","72.83040272263189"
"34","30","7","73.82702091577163"
"31","30","12","74.72745292368683"
"34","30","8","73.93331449562022"
"35","30","0","48.93797790994053"
"31","30","13","74.77707006369427"
"36","30","0","49.68705547652916"
"34","30","9","73.89524212904138"
"31","30","14","74.77707006369427"
"34","30","10","73.89155605761084"
"35","30","1","57.870765727298604"
"36","30","1","58.86039886039887"
"34","30","11","74.03588077412064"
"34","30","12","74.03588077412064"
"35","30","2","64.09271899886234"
"36","30","2","64.56614509246089"
"31","30","15","74.79479196150581"
"34","30","13","73.9480372776052"
"35","30","3","68.23228010247652"
"31","30","16","74.77707006369427"
"36","30","3","68.59738784781374"
"34","30","14","74.20494699646643"
"31","30","17","74.86199575371549"
"34","30","15","74.19081272084806"
"35","30","4","71.22802041973908"
"36","30","4","71.59010600706713"
"34","30","16","74.30673457838144"
"37","30","0","50.042577348850415"
"36","30","5","73.4087694483734"
"35","30","5","72.37757274662881"
"34","30","17","74.28571428571429"
"36","30","6","73.60463473223116"
"35","30","6","73.51941059790309"
"34","30","18","74.335407239819"
"37","30","1","59.12709695763435"
"36","30","7","74.28369795342272"
"35","30","7","74.03260099220411"
"36","30","8","74.554959027974"
"35","30","8","74.47983014861995"
"38","30","0","49.62544169611308"
"37","30","2","64.67244564445076"
"36","30","9","74.72480948348857"
"35","30","9","74.50869503746642"
"35","30","10","74.84089944845142"
"36","30","10","74.85545057114652"
"37","30","3","68.42403628117914"
"35","30","11","74.8939179632249"
"36","30","11","74.88011283497885"
"38","30","1","58.36051623883137"
"37","30","4","70.60319254131939"
"35","30","12","74.9080622347949"
"36","30","12","74.85190409026798"
"37","30","5","71.55768959186555"
"35","30","13","75.01768284057151"
"36","30","13","74.9400648709632"
"37","30","6","72.42937853107345"
"38","30","2","64.54234388366125"
"37","30","7","72.81073446327684"
"40","30","0","50.7380073800738"
"39","30","0","50.02835270768359"
"38","30","3","67.77714771760704"
"37","30","8","73.21378141767863"
"38","30","4","69.56151553852703"
"40","30","1","59.753331443152824"
"37","30","9","73.38413773638159"
"39","30","1","59.74816072439162"
"37","30","10","73.58623607389649"
"38","30","5","70.91554293825408"
"40","30","2","65.47129695251594"
"39","30","2","65.66529686835766"
"37","30","11","73.65970654627539"
"39","30","3","69.56276445698167"
"38","30","6","71.62546177891447"
"40","30","3","69.13685406019307"
"37","30","12","73.66342220341375"
"38","30","7","71.7471590909091"
"39","30","4","71.28169014084507"
"37","30","13","73.70276367738296"
"40","30","4","71.96195343554798"
"38","30","8","72.00113700966459"
"39","30","5","72.48803827751196"
"38","30","9","72.00113700966459"
"41","30","0","49.45164506480558"
"39","30","6","73.16491228070176"
"40","30","5","73.0387992070235"
"38","30","10","72.05798749289369"
"39","30","7","73.51784209047484"
"40","30","6","73.85768849908048"
"39","30","8","73.79649122807017"
"41","30","1","58.69904843062065"
"42","30","0","50.353806962921034"
"40","30","7","74.31283649759138"
"39","30","9","73.96491228070175"
"40","30","8","74.52229299363057"
"39","30","10","74.21666432485597"
"41","30","2","63.75390736004547"
"40","30","9","74.71687429218574"
"42","30","1","59.78276202567358"
"39","30","11","74.26201855496205"
"40","30","10","74.8300283286119"
"39","30","12","74.22028659735881"
"42","30","2","65.74060949681078"
"41","30","3","67.29783599088837"
"40","30","11","74.81943067554171"
"40","30","12","74.84071924111568"
"39","30","13","74.23795476892822"
"41","30","4","69.44365597502129"
"42","30","3","69.20135938827528"
"40","30","13","74.91861288039632"
"39","30","14","74.24476605311227"
"41","30","5","71.00935639353558"
"42","30","4","70.50339366515837"
"40","30","14","74.97875955819882"
"39","30","15","74.30457993818487"
"41","30","6","72.35760838764523"
"42","30","5","71.94966775060088"
"43","30","0","49.7883149872989"
"44","30","0","51.048752834467116"
"41","30","7","73.32295499575432"
"42","30","6","72.30921145436592"
"41","30","8","73.64022662889519"
"42","30","7","72.54376058723885"
"43","30","1","59.809902113775"
"41","30","9","73.75796178343948"
"44","30","1","61.34943181818182"
"42","30","8","72.54017479560191"
"41","30","10","73.81761540640045"
"42","30","9","72.87226534932957"
"44","30","2","66.28319840931685"
"41","30","11","73.85704175513092"
"43","30","2","65.25447824850725"
"42","30","10","72.98785653770122"
"41","30","12","73.94565525049534"
"44","30","3","70.14735052422782"
"43","30","3","68.13732444318343"
"42","30","11","73.02371541501977"
"41","30","13","73.96407863102814"
"44","30","4","72.58566978193146"
"43","30","4","71.06570171704271"
"41","30","14","74.05940594059406"
"44","30","5","73.60699675553674"
"45","30","0","49.405267629566694"
"43","30","5","72.91430192962542"
"46","35","0","49.07236935278289"
"44","30","6","74.66497390323036"
"43","30","6","73.84658930087744"
"44","30","7","75.22236340533672"
"43","30","7","74.98231215508703"
"45","30","1","59.634598915215534"
"44","30","8","75.27170077628793"
"43","30","8","75.39222614840989"
"44","30","9","75.45172219085262"
"46","35","1","60.58590433059723"
"45","30","2","64.28470154544166"
"43","30","9","75.68217163862576"
"44","30","10","75.57532119158549"
"43","30","10","75.72458645553513"
"44","30","11","75.64935064935064"
"45","30","3","67.53081172970676"
"46","35","2","67.3480976717774"
"43","30","11","75.7991513437058"
"44","30","12","75.62455892731123"
"45","30","4","69.73871059358136"
"46","35","3","72.53431441913118"
"43","30","12","75.9327303561334"
"44","30","13","75.59977420265311"
"45","30","5","71.00198131899236"
"43","30","13","75.94686263425665"
"46","35","4","75.45544414630702"
"44","30","14","75.68101623147496"
"45","30","6","71.88561721404304"
"46","35","5","76.43920247121595"
"45","30","7","72.09170676478914"
"44","30","15","75.76570218772054"
"43","30","14","75.9711823703913"
"45","30","8","72.78901938587803"
"43","30","15","76.1763459092836"
"46","35","6","77.48948106591865"
"47","35","0","50.86145521856756"
"43","30","16","76.24364047484454"
"46","35","7","77.72791023842917"
"46","35","8","77.8540411822384"
"48","35","0","49.8729531338227"
"46","35","9","78.0501470794229"
"45","30","9","72.99476587919084"
"47","35","1","63.378492802709566"
"46","35","10","78.12018489984591"
"45","30","10","73.19762510602206"
"45","30","11","73.31825890333522"
"48","35","1","61.2201666431295"
"49","35","0","50.97706032285472"
"47","35","2","70.02686271737593"
"45","30","12","73.47457627118644"
"48","35","2","67.98480157613285"
"45","30","13","73.64702557580895"
"47","35","3","73.65970654627539"
"45","30","14","73.80011293054771"
"49","35","1","61.47843359818388"
"47","35","4","76.08328643781654"
"48","35","3","71.95670508855777"
"45","30","15","73.81792519407199"
"47","35","5","77.63695254189551"
"48","35","4","74.42935163142417"
"45","30","16","73.88175532665444"
"49","35","2","67.84702549575071"
"47","35","6","78.68967452300785"
"48","35","5","75.2867132867133"
"45","30","17","73.8639570985041"
"47","35","7","79.10531482260552"
"49","35","3","72.5099037917374"
"48","35","6","75.96650383810189"
"45","30","18","73.87133182844244"
"47","35","8","79.27751330159619"
"49","35","4","74.77795009163964"
"45","30","19","73.93819669817977"
"48","35","7","76.46155992744524"
"47","35","9","79.54100195913799"
"49","35","5","75.80622447542599"
"48","35","8","76.54941373534339"
"47","35","10","79.54927211646137"
"50","35","0","50.30474840538625"
"48","35","9","76.73606259605981"
"47","35","11","79.59983209738351"
"49","35","6","76.57239341494302"
"48","35","10","76.8640044680257"
"51","35","0","49.1566265060241"
"49","35","7","76.67978633680067"
"48","35","11","76.8908735696344"
"50","35","1","61.091374165127185"
"49","35","8","76.86472819216182"
"52","35","0","50.07789264976632"
"49","35","9","77.01601573475696"
"50","35","2","67.10024035062915"
"51","35","1","60.96902529127593"
"49","35","10","77.03766160764475"
"49","35","11","77.0938729623384"
"50","35","3","70.10323858011597"
"52","35","1","61.13314447592067"
"51","35","2","68.69417269247128"
"49","35","12","77.08626018544535"
"50","35","4","72.89045936395759"
"49","35","13","77.1673457917662"
"51","35","3","72.70281749964605"
"52","35","2","67.29143179255918"
"50","35","5","74.32241671372107"
"51","35","4","75.41471714164186"
"53","35","0","49.28195649082895"
"52","35","3","70.90781140042223"
"50","35","6","75.14459021018479"
"51","35","5","76.44814919468776"
"52","35","4","73.19442489089117"
"50","35","7","75.79214195183776"
"51","35","6","77.5"
"53","35","1","60.226148409893995"
"50","35","8","76.30245001408053"
"52","35","5","75.4086809470124"
"51","35","7","78.06806948171162"
"50","35","9","76.48051765367843"
"52","35","6","76.53781038374717"
"51","35","8","78.3161463483543"
"53","35","2","67.0596590909091"
"50","35","10","76.55414908579465"
"52","35","7","77.05749718151071"
"51","35","9","78.36463776302782"
"50","35","11","76.50035137034435"
"52","35","8","77.19966159052454"
"51","35","10","78.61075815332487"
"53","35","3","71.11205193338978"
"52","35","9","77.215724954206"
"50","35","12","76.52186138057078"
"51","35","11","78.67024280067758"
"53","35","4","73.47226133483525"
"52","35","10","77.40391383922287"
"51","35","12","78.72460496613995"
"50","35","13","76.5466816647919"
"53","35","5","75.57402451049443"
"52","35","11","77.42889326950156"
"53","35","6","76.276910088645"
"54","35","0","50.33404406538735"
"52","35","12","77.5197072072072"
"55","35","0","49.97153430116709"
"53","35","7","77.04756543765832"
"56","35","0","50.056931397665814"
"53","35","8","77.46518497678998"
"54","35","1","60.511805457373114"
"55","35","1","60.515565572615856"
"53","35","9","77.53867791842475"
"53","35","10","77.87934186471664"
"56","35","1","61.47075525269733"
"54","35","2","67.07609769871523"
"55","35","2","67.03776775648252"
"53","35","11","77.90125193416796"
"54","35","3","71.58978699393427"
"53","35","12","77.87934186471664"
"56","35","2","69.09167961576493"
"55","35","3","71.09144542772862"
"53","35","13","77.99352750809061"
"54","35","4","73.92715979672502"
"56","35","3","71.88552188552188"
"55","35","4","73.64373601789708"
"57","35","0","50.17026106696936"
"54","35","5","75.20045013363342"
"56","35","4","74.60585585585585"
"55","35","5","74.90909090909092"
"54","35","6","76.14420504154344"
"56","35","5","75.92462382224723"
"55","35","6","75.76181157394466"
"54","35","7","77.31305449936629"
"56","35","6","76.55414908579465"
"57","35","1","62.12808160952111"
"55","35","7","76.5256249127217"
"54","35","8","77.8606615059817"
"56","35","7","77.09709147112548"
"55","35","8","76.78671133445003"
"54","35","9","77.98733286418016"
"57","35","2","68.48792884371029"
"56","35","8","77.37994945240101"
"55","35","9","76.92415141779578"
"54","35","10","77.96228539262596"
"56","35","9","77.7045039988775"
"55","35","10","76.91985478916504"
"57","35","3","72.05944203000139"
"54","35","11","77.98423423423422"
"56","35","10","77.83700378734746"
"55","35","11","76.93811984914095"
"54","35","12","78.0185758513932"
"57","35","4","75.26337968815845"
"55","35","12","76.99720670391062"
"58","35","0","49.780608634111815"
"59","35","0","49.971703452178836"
"57","35","5","76.33310006997901"
"60","35","0","51.27732046551235"
"57","35","6","77.47823645043526"
"58","35","1","60.87386877828054"
"57","35","7","78.33099579242638"
"59","35","1","61.323696145124714"
"57","35","8","78.75227304518114"
"60","35","1","63.32671019017882"
"58","35","2","66.52506372132541"
"59","35","2","67.7683615819209"
"57","35","9","79.21623512946117"
"57","35","10","79.21678321678321"
"60","35","2","68.59292914951016"
"59","35","3","71.8666479110986"
"58","35","3","70.30784508440914"
